name,link,networks
multi collateral dai,https://coinmarketcap.com//currencies/multi-collateral-dai/,"{'etherscan': 'https://etherscan.io/token/0x6b175474e89094c44da98b954eedeac495271d0f', 'polygonscan': 'https://polygonscan.com/token/0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063', 'bscscan': 'https://bscscan.com/token/0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3', 'blockscout': 'https://blockscout.com/xdai/mainnet/tokens/0x44fA8E6f47987339850636F88629646662444217/token-transfers', 'ftmscan': 'https://ftmscan.com/token/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E', 'source_code"":': 'source_code"":'}"
bitcoin cash,https://coinmarketcap.com//currencies/bitcoin-cash/,"{'explorer': 'https://explorer.bitcoin.com/bch', 'blockchair': 'https://blockchair.com/bitcoin-cash', 'bch': 'https://bch.tokenview.com/en', 'www': 'https://www.oklink.com/bch', 'bscscan': 'https://bscscan.com/token/0x8ff795a6f4d97e7887c79bea79aba5cc76444adf', 'gitlab': 'https://gitlab.com/bitcoin-cash-node/'}"
cosmos,https://coinmarketcap.com//currencies/cosmos/,"{'www': 'https://www.mintscan.io/', 'atomscan': 'https://atomscan.com', 'atom': 'https://atom.tokenview.com/en', 'bscscan': 'https://bscscan.com/token/0x0eb3a705fc54725037cc9e008bdede697f62f335', 'etherscan': 'https://etherscan.io/address/0x8D983cb9388EaC77af0474fA441C4815500Cb7BB'}"
uniswap,https://coinmarketcap.com//currencies/uniswap/,"{'etherscan': 'https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', 'nearblocks': 'https://nearblocks.io/token/1f9840a85d5af5bf1d1762f925bdaddc4201f984.factory.bridge.near', 'bscscan': 'https://bscscan.com/token/0xbf5140a22578168fd562dccf235e5d43a02ce9b1', 'hecoinfo': 'https://hecoinfo.com/token/0x22c54ce8321a4015740ee1109d9cbc25815c46e6', 'blockscout': 'https://blockscout.com/xdai/mainnet/tokens/0x4537e328bf7e4efa29d05caea260d7fe26af9d74/token-transfers', 'source_code"":': 'source_code"":'}"
stellar,https://coinmarketcap.com//currencies/stellar/,"{'dashboard': 'https://dashboard.stellar.org/', 'stellar': 'https://stellar.expert/explorer/public/', 'steexp': 'https://steexp.com/', 'blockchair': 'https://blockchair.com/stellar'}"
unus sed leo,https://coinmarketcap.com//currencies/unus-sed-leo/,"{'etherscan': 'https://etherscan.io/token/0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3', 'www': 'https://www.oklink.com/cn/eth/token/0x2AF5D2aD76741191D15Dfe7bF6aC92d4Bd912Ca3', 'eospark': 'https://eospark.com/account/bitfinexleo1', 'eosflare': 'https://eosflare.io/account/bitfinexleo1', 'blockchair': 'https://blockchair.com/ethereum/erc-20/token/0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3', 'source_code"":': 'source_code"":'}"
okb,https://coinmarketcap.com//currencies/okb/,"{'etherscan': 'https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c', 'www': 'https://www.oklink.com/eth/token/0x75231f58b43240c9718dd58b4967c5114342a86c', 'blockchair': 'https://blockchair.com/ethereum/erc-20/token/0x75231f58b43240c9718dd58b4967c5114342a86c', 'eth': 'https://eth.tokenview.com/en/token/0x75231f58b43240c9718dd58b4967c5114342a86c', 'ethplorer': 'https://ethplorer.io/address/0x75231f58b43240c9718dd58b4967c5114342a86c', 'source_code"":': 'source_code"":'}"
ethereum classic,https://coinmarketcap.com//currencies/ethereum-classic/,"{'blockscout': 'https://blockscout.com/etc/mainnet/', 'etcblockexplorer': 'https://etcblockexplorer.com/home'}"
monero,https://coinmarketcap.com//currencies/monero/,"{'moneroblocks': 'http://moneroblocks.info/', 'chainradar': 'http://chainradar.com/xmr/blocks', 'blockchair': 'https://blockchair.com/monero'}"
kaspa,https://coinmarketcap.com//currencies/kaspa/,"{'explorer': 'https://explorer.kaspa.org/', 'kas': 'https://kas.fyi/', 'kgi': 'https://kgi.kaspad.net'}"
